[0][0]: 1.250000, 3FA00000
[6][6]: 13.250000, 41540000
[6][7]: 14.250000, 41640000
[6][8]: 15.250000, 41740000
[6][9]: 16.250000, 41820000
[6][10]: 17.250000, 418A0000
[6][11]: 18.250000, 41920000
[6][12]: 19.250000, 419A0000
[6][13]: 20.250000, 41A20000
[6][14]: 21.250000, 41AA0000
[6][15]: 22.250000, 41B20000
[6][16]: 23.250000, 41BA0000
[6][17]: 24.250000, 41C20000
[6][18]: 25.250000, 41CA0000
[6][19]: 26.250000, 41D20000
[6][20]: 27.250000, 41DA0000
[6][21]: 28.250000, 41E20000
[6][22]: 29.250000, 41EA0000
[6][23]: 30.250000, 41F20000
[6][24]: 31.250000, 41FA0000
[6][25]: 32.250000, 42010000
[6][26]: 33.250000, 42050000
[6][27]: 34.250000, 42090000
[6][28]: 35.250000, 420D0000
[6][29]: 36.250000, 42110000
[6][30]: 37.250000, 42150000
[6][31]: 38.250000, 42190000
[7][0]: 8.250000, 41040000
[7][1]: 9.250000, 41140000
[7][2]: 10.250000, 41240000
[7][3]: 11.250000, 41340000
[7][4]: 12.250000, 41440000
[7][5]: 13.250000, 41540000
[7][6]: 14.250000, 41640000
[7][7]: 15.250000, 41740000
[7][8]: 16.250000, 41820000
[7][9]: 17.250000, 418A0000
[7][10]: 18.250000, 41920000
[7][11]: 19.250000, 419A0000
[7][12]: 20.250000, 41A20000
[7][13]: 21.250000, 41AA0000
[7][14]: 22.250000, 41B20000
[7][15]: 23.250000, 41BA0000
[7][16]: 24.250000, 41C20000
[7][17]: 25.250000, 41CA0000
[7][18]: 26.250000, 41D20000
[7][19]: 27.250000, 41DA0000
[7][20]: 28.250000, 41E20000
[7][21]: 29.250000, 41EA0000
[7][22]: 30.250000, 41F20000
[7][23]: 31.250000, 41FA0000
[7][24]: 32.250000, 42010000
[7][25]: 33.250000, 42050000
[7][26]: 34.250000, 42090000
[7][27]: 35.250000, 420D0000
[7][28]: 36.250000, 42110000
[7][29]: 37.250000, 42150000
[7][30]: 38.250000, 42190000
[7][31]: 39.250000, 421D0000
[8][0]: 9.250000, 41140000
[8][1]: 10.250000, 41240000
[8][2]: 11.250000, 41340000
[8][3]: 12.250000, 41440000
[8][4]: 13.250000, 41540000
[8][5]: 14.250000, 41640000
[8][6]: 15.250000, 41740000
[8][7]: 16.250000, 41820000
[8][8]: 17.250000, 418A0000
[8][9]: 18.250000, 41920000
[8][10]: 19.250000, 419A0000
[8][11]: 20.250000, 41A20000
[8][12]: 21.250000, 41AA0000
[8][13]: 22.250000, 41B20000
[8][14]: 23.250000, 41BA0000
[8][15]: 24.250000, 41C20000
[8][16]: 25.250000, 41CA0000
[8][17]: 26.250000, 41D20000
[8][18]: 27.250000, 41DA0000
[8][19]: 28.250000, 41E20000
[8][20]: 29.250000, 41EA0000
[8][21]: 30.250000, 41F20000
[8][22]: 31.250000, 41FA0000
[8][23]: 32.250000, 42010000
[8][24]: 33.250000, 42050000
[8][25]: 34.250000, 42090000
[8][26]: 35.250000, 420D0000
[8][27]: 36.250000, 42110000
[8][28]: 37.250000, 42150000
[8][29]: 38.250000, 42190000
[8][30]: 39.250000, 421D0000
[8][31]: 40.250000, 42210000
[9][0]: 10.250000, 41240000
[9][1]: 11.250000, 41340000
[9][2]: 12.250000, 41440000
[9][3]: 13.250000, 41540000
[9][4]: 14.250000, 41640000
[9][5]: 15.250000, 41740000
[9][6]: 16.250000, 41820000
[9][7]: 17.250000, 418A0000
[9][8]: 18.250000, 41920000
[9][9]: 19.250000, 419A0000
[9][10]: 20.250000, 41A20000
[9][11]: 21.250000, 41AA0000
[9][12]: 22.250000, 41B20000
[9][13]: 23.250000, 41BA0000
[9][14]: 24.250000, 41C20000
[9][15]: 25.250000, 41CA0000
[9][16]: 26.250000, 41D20000
[9][17]: 27.250000, 41DA0000
[9][18]: 28.250000, 41E20000
[9][19]: 29.250000, 41EA0000
[9][20]: 30.250000, 41F20000
[9][21]: 31.250000, 41FA0000
[9][22]: 32.250000, 42010000
[9][23]: 33.250000, 42050000
[9][24]: 34.250000, 42090000
[9][25]: 35.250000, 420D0000
[9][26]: 36.250000, 42110000
[9][27]: 37.250000, 42150000
[9][28]: 38.250000, 42190000
[9][29]: 39.250000, 421D0000
[9][30]: 40.250000, 42210000
[9][31]: 41.250000, 42250000
[10][0]: 11.250000, 41340000
[10][1]: 12.250000, 41440000
[10][2]: 13.250000, 41540000
[10][3]: 14.250000, 41640000
[10][4]: 15.250000, 41740000
[10][5]: 16.250000, 41820000
[10][6]: 17.250000, 418A0000
[10][7]: 18.250000, 41920000
[10][8]: 19.250000, 419A0000
[10][9]: 20.250000, 41A20000
[10][10]: 21.250000, 41AA0000
[10][11]: 22.250000, 41B20000
[10][12]: 23.250000, 41BA0000
[10][13]: 24.250000, 41C20000
[10][14]: 25.250000, 41CA0000
[10][15]: 26.250000, 41D20000
[10][16]: 27.250000, 41DA0000
[10][17]: 28.250000, 41E20000
[10][18]: 29.250000, 41EA0000
[10][19]: 30.250000, 41F20000
[10][20]: 31.250000, 41FA0000
[10][21]: 32.250000, 42010000
[10][22]: 33.250000, 42050000
[10][23]: 34.250000, 42090000
[10][24]: 35.250000, 420D0000
[10][25]: 36.250000, 42110000
[10][26]: 37.250000, 42150000
[10][27]: 38.250000, 42190000
[10][28]: 39.250000, 421D0000
[10][29]: 40.250000, 42210000
[10][30]: 41.250000, 42250000
[10][31]: 42.250000, 42290000
[11][0]: 12.250000, 41440000
[11][1]: 13.250000, 41540000
[11][2]: 14.250000, 41640000
[11][3]: 15.250000, 41740000
[11][4]: 16.250000, 41820000
[11][5]: 17.250000, 418A0000
[11][6]: 18.250000, 41920000
[11][7]: 19.250000, 419A0000
[11][8]: 20.250000, 41A20000
[11][9]: 21.250000, 41AA0000
[11][10]: 22.250000, 41B20000
[11][11]: 23.250000, 41BA0000
[11][12]: 24.250000, 41C20000
[11][13]: 25.250000, 41CA0000
[11][14]: 26.250000, 41D20000
[11][15]: 27.250000, 41DA0000
[11][16]: 28.250000, 41E20000
[11][17]: 29.250000, 41EA0000
[11][18]: 30.250000, 41F20000
[11][19]: 31.250000, 41FA0000
[11][20]: 32.250000, 42010000
[11][21]: 33.250000, 42050000
[11][22]: 34.250000, 42090000
[11][23]: 35.250000, 420D0000
[11][24]: 36.250000, 42110000
[11][25]: 37.250000, 42150000
[11][26]: 38.250000, 42190000
[11][27]: 39.250000, 421D0000
[11][28]: 40.250000, 42210000
[11][29]: 41.250000, 42250000
[11][30]: 42.250000, 42290000
[11][31]: 43.250000, 422D0000
[12][0]: 13.250000, 41540000
[12][1]: 14.250000, 41640000
[12][2]: 15.250000, 41740000
[12][3]: 16.250000, 41820000
[12][4]: 17.250000, 418A0000
[12][5]: 18.250000, 41920000
[12][6]: 19.250000, 419A0000
[12][7]: 20.250000, 41A20000
[12][8]: 21.250000, 41AA0000
[12][9]: 22.250000, 41B20000
[12][10]: 23.250000, 41BA0000
[12][11]: 24.250000, 41C20000
[12][12]: 25.250000, 41CA0000
[12][13]: 26.250000, 41D20000
[12][14]: 27.250000, 41DA0000
[12][15]: 28.250000, 41E20000
[12][16]: 29.250000, 41EA0000
[12][17]: 30.250000, 41F20000
[12][18]: 31.250000, 41FA0000
[12][19]: 32.250000, 42010000
[12][20]: 33.250000, 42050000
[12][21]: 34.250000, 42090000
[12][22]: 35.250000, 420D0000
[12][23]: 36.250000, 42110000
[12][24]: 37.250000, 42150000
[12][25]: 38.250000, 42190000
[12][26]: 39.250000, 421D0000
[12][27]: 40.250000, 42210000
[12][28]: 41.250000, 42250000
[12][29]: 42.250000, 42290000
[12][30]: 43.250000, 422D0000
[12][31]: 44.250000, 42310000
[13][0]: 14.250000, 41640000
[13][1]: 15.250000, 41740000
[13][2]: 16.250000, 41820000
[13][3]: 17.250000, 418A0000
[13][4]: 18.250000, 41920000
[13][5]: 19.250000, 419A0000
[13][6]: 20.250000, 41A20000
[13][7]: 21.250000, 41AA0000
[13][8]: 22.250000, 41B20000
[13][9]: 23.250000, 41BA0000
[13][10]: 24.250000, 41C20000
[13][11]: 25.250000, 41CA0000
[13][12]: 26.250000, 41D20000
[13][13]: 27.250000, 41DA0000
[13][14]: 28.250000, 41E20000
[13][15]: 29.250000, 41EA0000
[13][16]: 30.250000, 41F20000
[13][17]: 31.250000, 41FA0000
[13][18]: 32.250000, 42010000
[13][19]: 33.250000, 42050000
[13][20]: 34.250000, 42090000
[13][21]: 35.250000, 420D0000
[13][22]: 36.250000, 42110000
[13][23]: 37.250000, 42150000
[13][24]: 38.250000, 42190000
[13][25]: 39.250000, 421D0000
[13][26]: 40.250000, 42210000
[13][27]: 41.250000, 42250000
[13][28]: 42.250000, 42290000
[13][29]: 43.250000, 422D0000
[13][30]: 44.250000, 42310000
[13][31]: 45.250000, 42350000
[14][0]: 15.250000, 41740000
[14][1]: 16.250000, 41820000
[14][2]: 17.250000, 418A0000
[14][3]: 18.250000, 41920000
[14][4]: 19.250000, 419A0000
[14][5]: 20.250000, 41A20000
[14][6]: 21.250000, 41AA0000
[14][7]: 22.250000, 41B20000
[14][8]: 23.250000, 41BA0000
[14][9]: 24.250000, 41C20000
[14][10]: 25.250000, 41CA0000
[14][11]: 26.250000, 41D20000
[14][12]: 27.250000, 41DA0000
[14][13]: 28.250000, 41E20000
[14][14]: 29.250000, 41EA0000
[14][15]: 30.250000, 41F20000
[14][16]: 31.250000, 41FA0000
[14][17]: 32.250000, 42010000
[14][18]: 33.250000, 42050000
[14][19]: 34.250000, 42090000
[14][20]: 35.250000, 420D0000
[14][21]: 36.250000, 42110000
[14][22]: 37.250000, 42150000
[14][23]: 38.250000, 42190000
[14][24]: 39.250000, 421D0000
[14][25]: 40.250000, 42210000
[14][26]: 41.250000, 42250000
[14][27]: 42.250000, 42290000
[14][28]: 43.250000, 422D0000
[14][29]: 44.250000, 42310000
[14][30]: 45.250000, 42350000
[14][31]: 46.250000, 42390000
[15][0]: 16.250000, 41820000
[15][1]: 17.250000, 418A0000
[15][2]: 18.250000, 41920000
[15][3]: 19.250000, 419A0000
[15][4]: 20.250000, 41A20000
[15][5]: 21.250000, 41AA0000
[15][6]: 22.250000, 41B20000
[15][7]: 23.250000, 41BA0000
[15][8]: 24.250000, 41C20000
[15][9]: 25.250000, 41CA0000
[15][10]: 26.250000, 41D20000
[15][11]: 27.250000, 41DA0000
[15][12]: 28.250000, 41E20000
[15][13]: 29.250000, 41EA0000
[15][14]: 30.250000, 41F20000
[15][15]: 31.250000, 41FA0000
[15][16]: 32.250000, 42010000
[15][17]: 33.250000, 42050000
[15][18]: 34.250000, 42090000
[15][19]: 35.250000, 420D0000
[15][20]: 36.250000, 42110000
[15][21]: 37.250000, 42150000
[15][22]: 38.250000, 42190000
[15][23]: 39.250000, 421D0000
[15][24]: 40.250000, 42210000
[15][25]: 41.250000, 42250000
[15][26]: 42.250000, 42290000
[15][27]: 43.250000, 422D0000
[15][28]: 44.250000, 42310000
[15][29]: 45.250000, 42350000
[15][30]: 46.250000, 42390000
[15][31]: 47.250000, 423D0000
[16][0]: 17.250000, 418A0000
[16][1]: 18.250000, 41920000
[16][2]: 19.250000, 419A0000
[16][3]: 20.250000, 41A20000
[16][4]: 21.250000, 41AA0000
[16][5]: 22.250000, 41B20000
[16][6]: 23.250000, 41BA0000
[16][7]: 24.250000, 41C20000
[16][8]: 25.250000, 41CA0000
[16][9]: 26.250000, 41D20000
[16][10]: 27.250000, 41DA0000
[16][11]: 28.250000, 41E20000
[16][12]: 29.250000, 41EA0000
[16][13]: 30.250000, 41F20000
[16][14]: 31.250000, 41FA0000
[16][15]: 32.250000, 42010000
[16][16]: 33.250000, 42050000
[16][17]: 34.250000, 42090000
[16][18]: 35.250000, 420D0000
[16][19]: 36.250000, 42110000
[16][20]: 37.250000, 42150000
[16][21]: 38.250000, 42190000
[16][22]: 39.250000, 421D0000
[16][23]: 40.250000, 42210000
[16][24]: 41.250000, 42250000
[16][25]: 42.250000, 42290000
[16][26]: 43.250000, 422D0000
[16][27]: 44.250000, 42310000
[16][28]: 45.250000, 42350000
[16][29]: 46.250000, 42390000
[16][30]: 47.250000, 423D0000
[16][31]: 48.250000, 42410000
[17][0]: 18.250000, 41920000
[17][1]: 19.250000, 419A0000
[17][2]: 20.250000, 41A20000
[17][3]: 21.250000, 41AA0000
[17][4]: 22.250000, 41B20000
[17][5]: 23.250000, 41BA0000
[17][6]: 24.250000, 41C20000
[17][7]: 25.250000, 41CA0000
[17][8]: 26.250000, 41D20000
[17][9]: 27.250000, 41DA0000
[17][10]: 28.250000, 41E20000
[17][11]: 29.250000, 41EA0000
[17][12]: 30.250000, 41F20000
[17][13]: 31.250000, 41FA0000
[17][14]: 32.250000, 42010000
[17][15]: 33.250000, 42050000
[17][16]: 34.250000, 42090000
[17][17]: 35.250000, 420D0000
[17][18]: 36.250000, 42110000
[17][19]: 37.250000, 42150000
[17][20]: 38.250000, 42190000
[17][21]: 39.250000, 421D0000
[17][22]: 40.250000, 42210000
[17][23]: 41.250000, 42250000
[17][24]: 42.250000, 42290000
[17][25]: 43.250000, 422D0000
[17][26]: 44.250000, 42310000
[17][27]: 45.250000, 42350000
[17][28]: 46.250000, 42390000
[17][29]: 47.250000, 423D0000
[17][30]: 48.250000, 42410000
[17][31]: 49.250000, 42450000
[18][0]: 19.250000, 419A0000
[18][1]: 20.250000, 41A20000
[18][2]: 21.250000, 41AA0000
[18][3]: 22.250000, 41B20000
[18][4]: 23.250000, 41BA0000
[18][5]: 24.250000, 41C20000
[18][6]: 25.250000, 41CA0000
[18][7]: 26.250000, 41D20000
[18][8]: 27.250000, 41DA0000
[18][9]: 28.250000, 41E20000
[18][10]: 29.250000, 41EA0000
[18][11]: 30.250000, 41F20000
[18][12]: 31.250000, 41FA0000
[18][13]: 32.250000, 42010000
[18][14]: 33.250000, 42050000
[18][15]: 34.250000, 42090000
[18][16]: 35.250000, 420D0000
[18][17]: 36.250000, 42110000
[18][18]: 37.250000, 42150000
[18][19]: 38.250000, 42190000
[18][20]: 39.250000, 421D0000
[18][21]: 40.250000, 42210000
[18][22]: 41.250000, 42250000
[18][23]: 42.250000, 42290000
[18][24]: 43.250000, 422D0000
[18][25]: 44.250000, 42310000
[18][26]: 45.250000, 42350000
[18][27]: 46.250000, 42390000
[18][28]: 47.250000, 423D0000
[18][29]: 48.250000, 42410000
[18][30]: 49.250000, 42450000
[18][31]: 50.250000, 42490000
[19][0]: 20.250000, 41A20000
[19][1]: 21.250000, 41AA0000
[19][2]: 22.250000, 41B20000
[19][3]: 23.250000, 41BA0000
[19][4]: 24.250000, 41C20000
[19][5]: 25.250000, 41CA0000
[19][6]: 26.250000, 41D20000
[19][7]: 27.250000, 41DA0000
[19][8]: 28.250000, 41E20000
[19][9]: 29.250000, 41EA0000
[19][10]: 30.250000, 41F20000
[19][11]: 31.250000, 41FA0000
[19][12]: 32.250000, 42010000
[19][13]: 33.250000, 42050000
[19][14]: 34.250000, 42090000
[19][15]: 35.250000, 420D0000
[19][16]: 36.250000, 42110000
[19][17]: 37.250000, 42150000
[19][18]: 38.250000, 42190000
[19][19]: 39.250000, 421D0000
[19][20]: 40.250000, 42210000
[19][21]: 41.250000, 42250000
[19][22]: 42.250000, 42290000
[19][23]: 43.250000, 422D0000
[19][24]: 44.250000, 42310000
[19][25]: 45.250000, 42350000
[19][26]: 46.250000, 42390000
[19][27]: 47.250000, 423D0000
[19][28]: 48.250000, 42410000
[19][29]: 49.250000, 42450000
[19][30]: 50.250000, 42490000
[19][31]: 51.250000, 424D0000
[20][0]: 21.250000, 41AA0000
[20][1]: 22.250000, 41B20000
[20][2]: 23.250000, 41BA0000
[20][3]: 24.250000, 41C20000
[20][4]: 25.250000, 41CA0000
[20][5]: 26.250000, 41D20000
[20][6]: 27.250000, 41DA0000
[20][7]: 28.250000, 41E20000
[20][8]: 29.250000, 41EA0000
[20][9]: 30.250000, 41F20000
[20][10]: 31.250000, 41FA0000
[20][11]: 32.250000, 42010000
[20][12]: 33.250000, 42050000
[20][13]: 34.250000, 42090000
[20][14]: 35.250000, 420D0000
[20][15]: 36.250000, 42110000
[20][16]: 37.250000, 42150000
[20][17]: 38.250000, 42190000
[20][18]: 39.250000, 421D0000
[20][19]: 40.250000, 42210000
[20][20]: 41.250000, 42250000
[20][21]: 42.250000, 42290000
[20][22]: 43.250000, 422D0000
[20][23]: 44.250000, 42310000
[20][24]: 45.250000, 42350000
[20][25]: 46.250000, 42390000
[20][26]: 47.250000, 423D0000
[20][27]: 48.250000, 42410000
[20][28]: 49.250000, 42450000
[20][29]: 50.250000, 42490000
[20][30]: 51.250000, 424D0000
[20][31]: 52.250000, 42510000
[21][0]: 22.250000, 41B20000
[21][1]: 23.250000, 41BA0000
[21][2]: 24.250000, 41C20000
[21][3]: 25.250000, 41CA0000
[21][4]: 26.250000, 41D20000
[21][5]: 27.250000, 41DA0000
[21][6]: 28.250000, 41E20000
[21][7]: 29.250000, 41EA0000
[21][8]: 30.250000, 41F20000
[21][9]: 31.250000, 41FA0000
[21][10]: 32.250000, 42010000
[21][11]: 33.250000, 42050000
[21][12]: 34.250000, 42090000
[21][13]: 35.250000, 420D0000
[21][14]: 36.250000, 42110000
[21][15]: 37.250000, 42150000
[21][16]: 38.250000, 42190000
[21][17]: 39.250000, 421D0000
[21][18]: 40.250000, 42210000
[21][19]: 41.250000, 42250000
[21][20]: 42.250000, 42290000
[21][21]: 43.250000, 422D0000
[21][22]: 44.250000, 42310000
[21][23]: 45.250000, 42350000
[21][24]: 46.250000, 42390000
[21][25]: 47.250000, 423D0000
[21][26]: 48.250000, 42410000
[21][27]: 49.250000, 42450000
[21][28]: 50.250000, 42490000
[21][29]: 51.250000, 424D0000
[21][30]: 52.250000, 42510000
[21][31]: 53.250000, 42550000
[22][0]: 23.250000, 41BA0000
[22][1]: 24.250000, 41C20000
[22][2]: 25.250000, 41CA0000
[22][3]: 26.250000, 41D20000
[22][4]: 27.250000, 41DA0000
[22][5]: 28.250000, 41E20000
[22][6]: 29.250000, 41EA0000
[22][7]: 30.250000, 41F20000
[22][8]: 31.250000, 41FA0000
[22][9]: 32.250000, 42010000
[22][10]: 33.250000, 42050000
[22][11]: 34.250000, 42090000
[22][12]: 35.250000, 420D0000
[22][13]: 36.250000, 42110000
[22][14]: 37.250000, 42150000
[22][15]: 38.250000, 42190000
[22][16]: 39.250000, 421D0000
[22][17]: 40.250000, 42210000
[22][18]: 41.250000, 42250000
[22][19]: 42.250000, 42290000
[22][20]: 43.250000, 422D0000
[22][21]: 44.250000, 42310000
[22][22]: 45.250000, 42350000
[22][23]: 46.250000, 42390000
[22][24]: 47.250000, 423D0000
[22][25]: 48.250000, 42410000
[22][26]: 49.250000, 42450000
[22][27]: 50.250000, 42490000
[22][28]: 51.250000, 424D0000
[22][29]: 52.250000, 42510000
[22][30]: 53.250000, 42550000
[22][31]: 54.250000, 42590000
[23][0]: 24.250000, 41C20000
[23][1]: 25.250000, 41CA0000
[23][2]: 26.250000, 41D20000
[23][3]: 27.250000, 41DA0000
[23][4]: 28.250000, 41E20000
[23][5]: 29.250000, 41EA0000
[23][6]: 30.250000, 41F20000
[23][7]: 31.250000, 41FA0000
[23][8]: 32.250000, 42010000
[23][9]: 33.250000, 42050000
[23][10]: 34.250000, 42090000
[23][11]: 35.250000, 420D0000
[23][12]: 36.250000, 42110000
[23][13]: 37.250000, 42150000
[23][14]: 38.250000, 42190000
[23][15]: 39.250000, 421D0000
[23][16]: 40.250000, 42210000
[23][17]: 41.250000, 42250000
[23][18]: 42.250000, 42290000
[23][19]: 43.250000, 422D0000
[23][20]: 44.250000, 42310000
[23][21]: 45.250000, 42350000
[23][22]: 46.250000, 42390000
[23][23]: 47.250000, 423D0000
[23][24]: 48.250000, 42410000
[23][25]: 49.250000, 42450000
[23][26]: 50.250000, 42490000
[23][27]: 51.250000, 424D0000
[23][28]: 52.250000, 42510000
[23][29]: 53.250000, 42550000
[23][30]: 54.250000, 42590000
[23][31]: 55.250000, 425D0000
[24][0]: 25.250000, 41CA0000
[24][1]: 26.250000, 41D20000
[24][2]: 27.250000, 41DA0000
[24][3]: 28.250000, 41E20000
[24][4]: 29.250000, 41EA0000
[24][5]: 30.250000, 41F20000
[24][6]: 31.250000, 41FA0000
[24][7]: 32.250000, 42010000
[24][8]: 33.250000, 42050000
[24][9]: 34.250000, 42090000
[24][10]: 35.250000, 420D0000
[24][11]: 36.250000, 42110000
[24][12]: 37.250000, 42150000
[24][13]: 38.250000, 42190000
[24][14]: 39.250000, 421D0000
[24][15]: 40.250000, 42210000
[24][16]: 41.250000, 42250000
[24][17]: 42.250000, 42290000
[24][18]: 43.250000, 422D0000
[24][19]: 44.250000, 42310000
[24][20]: 45.250000, 42350000
